"region_gea","urt","fuel_heat","y2015"
"AFR","urb","coal",0.236079160578531
"AFR","urb","oil",0.195027650066623
"AFR","urb","gas",9.45983331330462e-05
"AFR","urb","biomass_solid",0.425186005727313
"AFR","urb","electricity",0.1436125852944
"AFR","rur","coal",0.236079160578531
"AFR","rur","oil",0.195027650066623
"AFR","rur","gas",9.45983331330462e-05
"AFR","rur","biomass_solid",0.425186005727313
"AFR","rur","electricity",0.1436125852944
"CPA","urb","coal",0.388806046136623
"CPA","urb","oil",0
"CPA","urb","gas",0
"CPA","urb","biomass_solid",0
"CPA","urb","electricity",0.611193953863377
"CPA","rur","coal",0.53
"CPA","rur","oil",0
"CPA","rur","gas",0
"CPA","rur","biomass_solid",0.24
"CPA","rur","electricity",0.23
"EEU","urb","coal",0.377750083573631
"EEU","urb","oil",0.0545215175610609
"EEU","urb","gas",0.431041775657452
"EEU","urb","biomass_solid",0
"EEU","urb","electricity",0.136686623207856
"EEU","rur","coal",0.188987405827567
"EEU","rur","oil",0.0272769765347745
"EEU","rur","gas",0.215649103804716
"EEU","rur","biomass_solid",0.499702543968518
"EEU","rur","electricity",0.0683839698644239
"FSU","urb","coal",0.0880442704251156
"FSU","urb","oil",0.159874577051545
"FSU","urb","gas",0.657923062367832
"FSU","urb","biomass_solid",0
"FSU","urb","electricity",0.0941580901555079
"FSU","rur","coal",0.068891684730797
"FSU","rur","oil",0.125096487318528
"FSU","rur","gas",0.514802700629064
"FSU","rur","biomass_solid",0.21753358397817
"FSU","rur","electricity",0.0736755433434407
"LAC","urb","coal",0.00518565071400093
"LAC","urb","oil",0.631132792404779
"LAC","urb","gas",0.168355487617702
"LAC","urb","biomass_solid",0
"LAC","urb","electricity",0.195326069263518
"LAC","rur","coal",0.00419241901928847
"LAC","rur","oil",0.510249006056362
"LAC","rur","gas",0.136109581461855
"LAC","rur","biomass_solid",0.191534630751507
"LAC","rur","electricity",0.157914362710987
"MEA","urb","coal",0.000898080808298601
"MEA","urb","oil",0.489294417373689
"MEA","urb","gas",0.342822636242881
"MEA","urb","biomass_solid",0
"MEA","urb","electricity",0.166984865575132
"MEA","rur","coal",0.00088455148533603
"MEA","rur","oil",0.481923341034832
"MEA","rur","gas",0.337658114162293
"MEA","rur","biomass_solid",0.0150647055783343
"MEA","rur","electricity",0.164469287739205
"NAM","urb","coal",0
"NAM","urb","oil",0.163451934178833
"NAM","urb","gas",0.682847506876001
"NAM","urb","biomass_solid",0
"NAM","urb","electricity",0.153700558945166
"NAM","rur","coal",0
"NAM","rur","oil",0.104081632010625
"NAM","rur","gas",0.434818243583957
"NAM","rur","biomass_solid",0.363227896118077
"NAM","rur","electricity",0.0978722282873409
"PAO","urb","coal",0.0331179363773689
"PAO","urb","oil",0.42370918309155
"PAO","urb","gas",0.399619827062063
"PAO","urb","biomass_solid",0
"PAO","urb","electricity",0.143553053469018
"PAO","rur","coal",0.0284507155817733
"PAO","rur","oil",0.363996999093241
"PAO","rur","gas",0.343302490560658
"PAO","rur","biomass_solid",0.140927283101643
"PAO","rur","electricity",0.123322511662685
"PAS","urb","coal",0
"PAS","urb","oil",0
"PAS","urb","gas",0
"PAS","urb","biomass_solid",0.883720930232558
"PAS","urb","electricity",0.116279069767442
"PAS","rur","coal",0
"PAS","rur","oil",0
"PAS","rur","gas",0
"PAS","rur","biomass_solid",0.883720930232558
"PAS","rur","electricity",0.116279069767442
"SAS","urb","coal",0
"SAS","urb","oil",0
"SAS","urb","gas",0
"SAS","urb","biomass_solid",0.883720930232558
"SAS","urb","electricity",0.116279069767442
"SAS","rur","coal",0
"SAS","rur","oil",0
"SAS","rur","gas",0
"SAS","rur","biomass_solid",0.883720930232558
"SAS","rur","electricity",0.116279069767442
"WEU","urb","coal",0.0533694995746519
"WEU","urb","oil",0.228387684464945
"WEU","urb","gas",0.557508671476622
"WEU","urb","biomass_solid",0
"WEU","urb","electricity",0.16073414448378
"WEU","rur","coal",0.0303991531535158
"WEU","rur","oil",0.13008913806125
"WEU","rur","gas",0.317555750451151
"WEU","rur","biomass_solid",0.430402132382855
"WEU","rur","electricity",0.0915538259512274
